Date;Time;Code;Object;Area;Status;Comment;CO2abs;dCO2ZP;dCO2MP;H2Oabs;dH2OZP;dH2OMP;Flow;Pamb;Aux1;Aux2;Tcuv;Tleaf;Tamb;Ttop;PARtop;PARbot;PARamb;Imp;rh;E;VPD;GH2O;A;ci;ca;wa
yyyy-mm-dd;hh:mm:ss;string;No;cm2;string;;ppm;ppm;ppm;ppm;ppm;ppm;µmol/s;kPa;mV;mV;°C;°C;°C;°C;µmol m-2 s-1;µmol m-2 s-1;µmol m-2 s-1;steps;%;mmol m-2 s-1;Pa/kPa;mmol m-2 s-1;µmol m-2 s-1;ppm;ppm;ppm
2019-11-04;11:59:13;MP_005;0001;1.69;AFF1FF512FF-------------------;;368.8045;0.4387669;-1.353961;16032.56;-115.8096;392.9952;749.53;97.308;297;433;21.96;21.78;20.37;22.02;123.3;0.5;138.3;7;61.05;2.294549;10.48489;218.8434;7.108785;310.7926;367.01;16541.4
2019-11-04;11:59:23;MP_005;0001;1.69;AFF1FF512FF-------------------;;381.0042;0.4387669;-1.330386;16031.26;-115.8096;428.3607;749.53;97.308;297;433;21.96;21.79;20.36;21.97;123.5;0.7;138.6;7;61.17;2.454122;10.46709;234.4608;6.915649;327.4566;379.24;16575.4
2019-11-04;11:59:33;MP_005;0001;1.69;AFF1FF512FF-------------------;;388.8313;0.4387669;-1.439833;16021.58;-115.8096;452.7784;749.57;97.308;298;434;21.94;21.77;20.33;21.96;123.7;0.2;138.6;7;61.30;2.564417;10.41845;246.1419;7.339901;334.5678;386.95;16590.2
2019-11-04;11:59:43;MP_005;0001;1.69;AFF1FF512FF-------------------;;393.8931;0.4387669;-1.482703;16017.42;-115.8096;469.9135;749.63;97.302;298;434;21.94;21.77;20.44;21.93;123.0;0.8;138.2;7;61.35;2.641945;10.40695;253.8634;7.487463;340.0174;391.97;16603.1
2019-11-04;11:59:53;MP_005;0001;1.69;AFF1FF512FF-------------------;;397.0222;0.4387669;-1.407506;16009.28;-115.8096;485.1711;749.53;97.300;298;434;21.93;21.76;20.53;21.91;98.1;0.3;104.0;7;61.41;2.710424;10.38347;261.0326;7.117279;346.6372;395.18;16610.3
2019-11-04;12:00:03;MP_005;0001;1.69;AFF1FF512FF-------------------;;398.8502;0.4387669;-1.287943;15990.78;-115.8096;497.6334;749.52;97.300;298;435;21.92;21.77;20.61;21.92;123.2;1.2;138.5;7;61.43;2.766575;10.40642;265.8527;6.559347;352.5453;397.12;16604.2
2019-11-04;12:00:13;MP_005;0001;1.69;AFF1FF512FF-------------------;;400.1592;0.4387669;-1.276818;15986.88;-115.8096;506.2379;749.49;97.304;298;434;21.92;21.75;20.68;21.92;93.5;0.2;79.9;7;61.45;2.805281;10.36689;270.6;6.490629;354.9299;398.44;16608.9
2019-11-04;12:00:23;MP_005;0001;1.69;AFF1FF512FF-------------------;;400.9195;0.4387669;-1.210971;15981.39;-115.8096;507.1212;749.49;97.308;298;435;21.92;21.76;20.75;21.92;61.3;0.2;57.4;7;61.43;2.809252;10.38725;270.4518;6.194694;357.4076;399.27;16604.3
2019-11-04;12:00:33;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.1372;0.4387669;-0.8958265;15977.85;-115.8096;505.2806;749.51;97.304;298;434;21.92;21.78;20.79;21.93;123.7;0.3;138.6;7;61.41;2.80101;10.42748;268.6181;4.799038;365.7034;399.80;16598.9
2019-11-04;12:00:43;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.23;0.4387669;-1.044961;15980.01;-115.8096;500.1298;749.52;97.304;298;435;21.92;21.78;20.81;21.94;123.3;0.7;138.4;7;61.40;2.77781;10.43052;266.3155;5.469947;361.5151;399.75;16596.0
2019-11-04;12:00:53;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.2224;0.4387669;-1.171862;15982.67;-115.8096;497.195;749.60;97.306;299;435;21.92;21.79;20.77;21.95;123.3;0.8;138.2;7;61.40;2.764868;10.44706;264.6551;6.03908;357.8406;399.61;16595.7
2019-11-04;12:01:03;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.2604;0.4387669;-1.258798;15985.92;-115.8096;493.0817;749.51;97.304;299;435;21.93;21.81;20.79;21.94;123.2;0.7;138.3;7;61.36;2.745984;10.48219;261.9666;6.431465;355.0908;399.56;16594.8
2019-11-04;12:01:13;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.5517;0.4387669;-1.30225;15991.7;-115.8096;491.995;749.52;97.306;299;436;21.94;21.82;20.82;21.95;122.8;0.5;138.1;7;61.34;2.741133;10.49371;261.2168;6.625529;354.0714;399.81;16599.5
2019-11-04;12:01:23;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.3779;0.4387669;-1.250231;15991.29;-115.8096;484.0773;749.53;97.306;299;436;21.94;21.83;20.86;21.96;122.8;0.3;138.1;7;61.31;2.705438;10.51904;257.1943;6.409519;354.6243;399.69;16591.2
2019-11-04;12:01:33;MP_005;0001;1.69;AFF1FF512FF-------------------;;401.5112;0.4387669;-1.256343;15993.63;-115.8096;478.4185;749.62;97.308;299;436;21.94;21.83;20.90;21.95;123.5;0.3;138.5;7;61.30;2.68023;10.52185;254.7299;6.447256;354.1483;399.82;16587.9
